STOK KODU	STOK İSMİ	CİNSİ	MUHASEBE KODU	MUHASEBE HESAP İSMİ	STOK İADE MUHASEBE KODU	STOK İADE MUHASEBE HESAP İSMİ	YURT İÇİ SATIŞ MUHASEBE KODU	YURT İÇİ SATIŞ MUHASEBE HESAP İSMİ	YURT DIŞI SATIŞ MUHASEBE KODU	YURT DIŞI SATIŞ MUHASEBE HESAP İSMİ	SATIŞ İADE MUHASEBE KODU	SATIŞ İADE MUHASEBE HESAP İSMİ
253.2020-008	İMALAT / OMS ÜRETİMİ (TEFLON FIRIN 400 CAL.)	Mamül	253.01.01.01.001	Tesis, Makina ve Cihazlar	253.01.01.01.001	Tesis, Makina ve Cihazlar	253.01.01.01.001	Tesis, Makina ve Cihazlar	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
253.2020-009	İMALAT / OMS ÜRETİMİ (TEFLON FIRIN 400 CAL.) SOĞUTMA PARÇASI	Mamül	253.01.01.01.001	Tesis, Makina ve Cihazlar	253.01.01.01.001	Tesis, Makina ve Cihazlar	253.01.01.01.001	Tesis, Makina ve Cihazlar	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
253.2020-010	M-150 TEN Otm.Basınçlı Tip Tencere Kumlama Makinası	Mamül	253.01.01.01.001	Tesis, Makina ve Cihazlar	253.01.01.01.001	Tesis, Makina ve Cihazlar	253.01.01.01.001	Tesis, Makina ve Cihazlar	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
253.2021-011	8 KAFA POLİSAJ MAKİME TAKIM	Mamül	253.01.01.01.001	Tesis, Makina ve Cihazlar	253.01.01.01.001	Tesis, Makina ve Cihazlar	253.01.01.01.001	Tesis, Makina ve Cihazlar	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
253.2021-012	PUNTA MAKİNE	Mamül	253.01.01.01.001	Tesis, Makina ve Cihazlar	253.01.01.01.001	Tesis, Makina ve Cihazlar	253.01.01.01.001	Tesis, Makina ve Cihazlar	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
3017.F.SILA.G.TES-07	OFSET KUTU 7 PCS GRANİT TENCERE SET (SILA)	İlk madde ve malzeme	150.01.01.05.001	Ofset Kutu	150.01.01.05.001	Ofset Kutu	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
602.01.01.01.002	FASON İŞÇİLİK GELİRİ	Mamül	153	TİCARİ MALLAR	153	TİCARİ MALLAR	602.01.01.01.002	İşçilik Gelirleri	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
602.01.01.01.006	Kargo Hizmet Bedeli Tsoft	Ticari mal	602.01.01.01.018	Kargo Hizmet Bedeli Tsoft	153	TİCARİ MALLAR	602.01.01.01.018	Kargo Hizmet Bedeli Tsoft	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
730.10.102.01-ISC	KAPLAMA İŞÇİLİK GİDERİ	Tüketim malzemesi	150.01.01.03.008	Kulp	150.01.01.03.008	Kulp	600.01.04.30.004	Sap	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
1S472-13001-XXX01	SCHAFER MİNİ KAÇEROL ÇELİK TENCERE Ø12CM - 2 PRÇ.	Mamül	152.01.01.01.002	Çelik Tek Tencere	152.01.01.01.002	Çelik Tek Tencere	600.01.#DMK#.01.002	TANIMSIZ	601.01.01.01.002	Çelik Tek Tencere	610.01.01.01.002	Çelik Tek Tencere
1S472-13001-XXX02	SCHAFER MİNİ BASIK ÇELİK TENCERE Ø12CM - 2 PRÇ.	Mamül	152.01.01.01.002	Çelik Tek Tencere	152.01.01.01.002	Çelik Tek Tencere	600.01.#DMK#.01.002	TANIMSIZ	601.01.01.01.002	Çelik Tek Tencere	610.01.01.01.002	Çelik Tek Tencere
1S472-13001-XXX03	SCHAFER MİNİ KAÇEROLA ÇELİK TENCERE Ø16CM - 2 PRÇ.	Mamül	152.01.01.01.002	Çelik Tek Tencere	152.01.01.01.002	Çelik Tek Tencere	600.01.#DMK#.01.002	TANIMSIZ	601.01.01.01.002	Çelik Tek Tencere	610.01.01.01.002	Çelik Tek Tencere
1S472-13001-XXX04	SCHAFER MİNİ BASIK ÇELİK TENCERE Ø16CM - 2 PRÇ.	Mamül	152.01.01.01.002	Çelik Tek Tencere	152.01.01.01.002	Çelik Tek Tencere	600.01.#DMK#.01.002	TANIMSIZ	601.01.01.01.002	Çelik Tek Tencere	610.01.01.01.002	Çelik Tek Tencere
1S7031-13002-GUL01	SCHAFER TALENT ÇELİK TENCERE SETİ-8 PRÇ.-ROSEGOLD	Ticari mal	153.01.04.06.002	Porselen Kahvaltı Takımı	153.01.04.06.002	Porselen Kahvaltı Takımı	600.01.04.06.002	Porselen Kahvaltı Takımı	601.01.#SMS#.06.002	TANIMSIZ	610.01.04.06.002	Porselen Kahvaltı Takımı
22*10 (3,50 lt) -24*8 (3,		Ticari mal	153	TİCARİ MALLAR	153	TİCARİ MALLAR	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
253.2020-007	Bilge İnox (CNC dp-01 Dikiş Punta Mak.60kw)	Mamül	253.01.01.01.001	Tesis, Makina ve Cihazlar	253.01.01.01.001	Tesis, Makina ve Cihazlar	253.01.01.01.001	Tesis, Makina ve Cihazlar	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
18*10 (2,30 lt) - 20*10 (		Ticari mal	153	TİCARİ MALLAR	153	TİCARİ MALLAR	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
1S047.11001.XXX01	SCHAFER BESTECK Ç.K.B.TKM -85 PRÇ.- (XXX01)	Ticari mal	153.01.04.01.022	Çatal-Kaşık-Bıçak Tkm	153.01.04.01.022	Çatal-Kaşık-Bıçak Tkm	600.01.04.01.022	Çatal-Kaşık-Bıçak Tkm	601.01.01.01.022	Çatal-Kaşık-Bıçak Tkm	610.01.01.01.022	Çatal-Kaşık-Bıçak Tkm
1S047.11001.XXX06	SCHAFER BESTECK Ç.K.B.TKM -85 PRÇ.- (XXX06)	Ticari mal	153.01.04.01.022	Çatal-Kaşık-Bıçak Tkm	153.01.04.01.022	Çatal-Kaşık-Bıçak Tkm	600.01.04.01.022	Çatal-Kaşık-Bıçak Tkm	601.01.01.01.022	Çatal-Kaşık-Bıçak Tkm	610.01.01.01.022	Çatal-Kaşık-Bıçak Tkm
1S461-29001-FUM01	SCHAFER MİTGİFT ÇELİK ÇEYİZ SETİ -18 PRÇ- FÜME	Mamül	152.01.01.05.001	Granit Tencere Seti	152.01.01.05.001	Granit Tencere Seti	600.01.#DMK#.05.001	TANIMSIZ	601.01.01.05.001	Granit Tencere Seti	610.01.01.05.001	Granit Tencere Seti
1S461-29001-KMZ01	SCHAFER MİTGİFT ÇELİK ÇEYİZ SETİ -18 PRÇ- KIRMIZI	Mamül	152.01.01.05.001	Granit Tencere Seti	152.01.01.05.001	Granit Tencere Seti	600.01.#DMK#.05.001	TANIMSIZ	601.01.01.05.001	Granit Tencere Seti	610.01.01.05.001	Granit Tencere Seti
1S472-13001-20	SCHAFER SPAGETTİ TENCERE 20 CM	Mamül	152.01.01.01.002	Çelik Tek Tencere	152.01.01.01.002	Çelik Tek Tencere	600.01.01.01.002	Çelik Tek Tencere	601.01.01.01.002	Çelik Tek Tencere	610.01.01.01.002	Çelik Tek Tencere
1S472-13001-SS	SERİ SONU SCHAFER MİNİ KAÇEROLA ÇELİK TNC. Ø16CM 	Mamül	152.01.01.01.002	Çelik Tek Tencere	152.01.01.01.002	Çelik Tek Tencere	600.01.01.01.002	Çelik Tek Tencere	601.01.01.01.002	Çelik Tek Tencere	610.01.01.01.002	Çelik Tek Tencere
157.SARF.K21-3	K21 Nutring PU 28*36*7	İşletme malzemesi	157.01.01.02.035	Bakım ve Onarım Malzemeleri	157.01.01.02.035	Bakım ve Onarım Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.K21-4	K21 Nutringler 28*38*5	İşletme malzemesi	157.01.01.02.035	Bakım ve Onarım Malzemeleri	157.01.01.02.035	Bakım ve Onarım Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.K21-5	K21 Nutringler 18*26*7	İşletme malzemesi	157.01.01.02.035	Bakım ve Onarım Malzemeleri	157.01.01.02.035	Bakım ve Onarım Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.K25	Kalem Piston  25*125	İşletme malzemesi	157.01.01.02.035	Bakım ve Onarım Malzemeleri	157.01.01.02.035	Bakım ve Onarım Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.K25-4	K25 Piston Keçesi 200	İşletme malzemesi	157.01.01.02.035	Bakım ve Onarım Malzemeleri	157.01.01.02.035	Bakım ve Onarım Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.KAYIS.13X1075	V Kayışı 13*1075	İşletme malzemesi	157.01.01.02.035	Bakım ve Onarım Malzemeleri	157.01.01.02.035	Bakım ve Onarım Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.1608	Rarus 427 Paıl 20L	Ticari mal	157.01.01.02.035	Bakım ve Onarım Malzemeleri	157.01.01.02.035	Bakım ve Onarım Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.1609	5 Mm Düz Karbür Freeze 58 	Ticari mal	157.01.01.02.035	Bakım ve Onarım Malzemeleri	157.01.01.02.035	Bakım ve Onarım Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.1610	Tel Fırça	Ticari mal	157.01.01.02.035	Bakım ve Onarım Malzemeleri	157.01.01.02.035	Bakım ve Onarım Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.1611	Spiralli Mıknatıs	Ticari mal	157.01.01.02.035	Bakım ve Onarım Malzemeleri	157.01.01.02.035	Bakım ve Onarım Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.1599	K06 Toz Keçeleri Pu 40x48x7/5	Ticari mal	157.01.01.02.035	Bakım ve Onarım Malzemeleri	157.01.01.02.035	Bakım ve Onarım Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.1600	3X16 Şerit Metre Gri	Ticari mal	157.01.01.02.035	Bakım ve Onarım Malzemeleri	157.01.01.02.035	Bakım ve Onarım Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.1601	Petrol Ofisi Max Trb Dizel	Ticari mal	157.01.01.02.035	Bakım ve Onarım Malzemeleri	157.01.01.02.035	Bakım ve Onarım Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.1602	Fren Alkolü	Ticari mal	157.01.01.02.035	Bakım ve Onarım Malzemeleri	157.01.01.02.035	Bakım ve Onarım Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.1603	Loctıte 243 Bo50Ml 	Ticari mal	157.01.01.02.035	Bakım ve Onarım Malzemeleri	157.01.01.02.035	Bakım ve Onarım Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.1604	117127 Karpat G4 Tavan Cam 6500k Armatür	Ticari mal	157.01.01.02.036	Elektrik Malzemeleri	157.01.01.02.036	Elektrik Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.1605	Filtre	Ticari mal	157.01.01.02.035	Bakım ve Onarım Malzemeleri	157.01.01.02.035	Bakım ve Onarım Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.1606	404 Sıvı Conta 80gr Beyaz	Ticari mal	157.01.01.02.035	Bakım ve Onarım Malzemeleri	157.01.01.02.035	Bakım ve Onarım Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.1607	İnsize Dijital Kumpas 11-08-150	Ticari mal	157.01.01.02.035	Bakım ve Onarım Malzemeleri	157.01.01.02.035	Bakım ve Onarım Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.1590	Kıvırcık Paspas 100cm Gri	Ticari mal	157.01.01.02.035	Bakım ve Onarım Malzemeleri	157.01.01.02.035	Bakım ve Onarım Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.1591	Yer Süzgeçi 10*10*50	Ticari mal	157.01.01.02.035	Bakım ve Onarım Malzemeleri	157.01.01.02.035	Bakım ve Onarım Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.1592	Adaptör Conta	Ticari mal	157.01.01.02.035	Bakım ve Onarım Malzemeleri	157.01.01.02.035	Bakım ve Onarım Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.1593	Tangit 125 Gr	Ticari mal	157.01.01.02.035	Bakım ve Onarım Malzemeleri	157.01.01.02.035	Bakım ve Onarım Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.1594	115 MM Turbo Çapaksız Kesim	Ticari mal	157.01.01.02.035	Bakım ve Onarım Malzemeleri	157.01.01.02.035	Bakım ve Onarım Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.1595	1/4-10 Pin Düz Rekor	Ticari mal	157.01.01.02.035	Bakım ve Onarım Malzemeleri	157.01.01.02.035	Bakım ve Onarım Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.1596	Turbo Elmas Daire Testere 115mm	Ticari mal	157.01.01.02.035	Bakım ve Onarım Malzemeleri	157.01.01.02.035	Bakım ve Onarım Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.1597	Silindir 40x50	Ticari mal	157.01.01.02.035	Bakım ve Onarım Malzemeleri	157.01.01.02.035	Bakım ve Onarım Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.1598	K06 Çelik Kafes 45x55x7/10	Ticari mal	157.01.01.02.035	Bakım ve Onarım Malzemeleri	157.01.01.02.035	Bakım ve Onarım Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.1581	Lubtech Ant.Cam Suyu 5LT	Ticari mal	157.01.01.02.035	Bakım ve Onarım Malzemeleri	157.01.01.02.035	Bakım ve Onarım Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.1582	100*150 Kıl Gönye	Ticari mal	157.01.01.02.035	Bakım ve Onarım Malzemeleri	157.01.01.02.035	Bakım ve Onarım Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.1583	S-13130004A Tutma Bıçağı	Ticari mal	157.01.01.02.035	Bakım ve Onarım Malzemeleri	157.01.01.02.035	Bakım ve Onarım Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.1584	Kh-3E-06020 Presleme Bıçağı	Ticari mal	157.01.01.02.035	Bakım ve Onarım Malzemeleri	157.01.01.02.035	Bakım ve Onarım Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.1585	Kh-4-01010 Kesme Bıçağı	Ticari mal	157.01.01.02.035	Bakım ve Onarım Malzemeleri	157.01.01.02.035	Bakım ve Onarım Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.1586	Potans	Ticari mal	157.01.01.02.035	Bakım ve Onarım Malzemeleri	157.01.01.02.035	Bakım ve Onarım Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.1587	3.36500 Pyk 2,5T	Ticari mal	157.01.01.02.036	Elektrik Malzemeleri	157.01.01.02.036	Elektrik Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.1588	3.34140 Avk 6/10T	Ticari mal	157.01.01.02.036	Elektrik Malzemeleri	157.01.01.02.036	Elektrik Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.1589	5.70080 Iky 10,0/12	Ticari mal	157.01.01.02.036	Elektrik Malzemeleri	157.01.01.02.036	Elektrik Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.1572	Erkek Bakalit	Ticari mal	157.01.01.02.035	Bakım ve Onarım Malzemeleri	157.01.01.02.035	Bakım ve Onarım Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.1573	Bahco Demir Testere Ağzı 18 Diş	Ticari mal	157.01.01.02.035	Bakım ve Onarım Malzemeleri	157.01.01.02.035	Bakım ve Onarım Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.1574	İnox Düz Thınlıne Kesici	Ticari mal	157.01.01.02.035	Bakım ve Onarım Malzemeleri	157.01.01.02.035	Bakım ve Onarım Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.1575	Selülozik Son Kat Siyah 12kg	Ticari mal	157.01.01.02.035	Bakım ve Onarım Malzemeleri	157.01.01.02.035	Bakım ve Onarım Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.1576	Selülozik Son Kat Turuncu 12kg	Ticari mal	157.01.01.02.035	Bakım ve Onarım Malzemeleri	157.01.01.02.035	Bakım ve Onarım Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.1577	Strafor Beyaz Eps 10 Dans 5cm	Ticari mal	157.01.01.02.035	Bakım ve Onarım Malzemeleri	157.01.01.02.035	Bakım ve Onarım Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.1578	Çuval Ağzı İpi	Ticari mal	157.01.01.02.035	Bakım ve Onarım Malzemeleri	157.01.01.02.035	Bakım ve Onarım Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.1579	Petrol Ofisi Süper Antifiriz Teneke	Ticari mal	157.01.01.02.035	Bakım ve Onarım Malzemeleri	157.01.01.02.035	Bakım ve Onarım Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.1580	Islak Havlu	Ticari mal	157.01.01.02.039	Temizlik Malzemeleri	157.01.01.02.039	Temizlik Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.1563	Streç Kesme Aparatı	Ticari mal	157.01.01.02.035	Bakım ve Onarım Malzemeleri	157.01.01.02.035	Bakım ve Onarım Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.1564	Sarı Asma Kilit 63mm Kaplamalı	Ticari mal	157.01.01.02.035	Bakım ve Onarım Malzemeleri	157.01.01.02.035	Bakım ve Onarım Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.1565	Plastik Siyah Köşe 19MM 	Ticari mal	157.01.01.02.035	Bakım ve Onarım Malzemeleri	157.01.01.02.035	Bakım ve Onarım Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.1566	Somun	Ticari mal	157.01.01.02.035	Bakım ve Onarım Malzemeleri	157.01.01.02.035	Bakım ve Onarım Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.1567	M5 Kare Somun Kalınlık 3mm 	Ticari mal	157.01.01.02.035	Bakım ve Onarım Malzemeleri	157.01.01.02.035	Bakım ve Onarım Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.1568	35/70 Makina Bağlantı Jakı	Ticari mal	157.01.01.02.035	Bakım ve Onarım Malzemeleri	157.01.01.02.035	Bakım ve Onarım Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.1569	Takım Kılavuz 3 Parça Din352m8	Ticari mal	157.01.01.02.035	Bakım ve Onarım Malzemeleri	157.01.01.02.035	Bakım ve Onarım Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.1570	Altın Seri Matkap Ucu	Ticari mal	157.01.01.02.035	Bakım ve Onarım Malzemeleri	157.01.01.02.035	Bakım ve Onarım Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.1571	Kanca Tesviyeci Mengenesi 200mm	Ticari mal	157.01.01.02.035	Bakım ve Onarım Malzemeleri	157.01.01.02.035	Bakım ve Onarım Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.1554	Termo Hortum 1'' 	Ticari mal	157.01.01.02.035	Bakım ve Onarım Malzemeleri	157.01.01.02.035	Bakım ve Onarım Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.1555	Pyk 2,5 Grı	Ticari mal	157.01.01.02.036	Elektrik Malzemeleri	157.01.01.02.036	Elektrik Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.1556	Pyk 2,5/10-PYK2,5	Ticari mal	157.01.01.02.036	Elektrik Malzemeleri	157.01.01.02.036	Elektrik Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.1557	PYK 4T	Ticari mal	157.01.01.02.036	Elektrik Malzemeleri	157.01.01.02.036	Elektrik Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.1558	Çöp Kovası Kapaklı 50 Lt Plastik	Ticari mal	157.01.01.02.039	Temizlik Malzemeleri	157.01.01.02.039	Temizlik Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.1559	Su Seviye Şalteri 5m	Ticari mal	157.01.01.02.036	Elektrik Malzemeleri	157.01.01.02.036	Elektrik Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.1560	Palmiye Komitatör	Ticari mal	157.01.01.02.036	Elektrik Malzemeleri	157.01.01.02.036	Elektrik Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.1561	155.00X3.00 O-RİNG NBR 90 BLACK	Ticari mal	157.01.01.02.035	Bakım ve Onarım Malzemeleri	157.01.01.02.035	Bakım ve Onarım Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.1562	KÖNİG TESTERE 160X2	Ticari mal	157.01.01.02.035	Bakım ve Onarım Malzemeleri	157.01.01.02.035	Bakım ve Onarım Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.1545	Motor Pervanesi	Ticari mal	157.01.01.02.035	Bakım ve Onarım Malzemeleri	157.01.01.02.035	Bakım ve Onarım Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.1546	S8vkc 24024 Güç Kaynağı	Ticari mal	157.01.01.02.036	Elektrik Malzemeleri	157.01.01.02.036	Elektrik Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.1547	Kumlama Lastiği Levha 5MM	Ticari mal	157.01.01.02.034	Sarf Malzeme	157.01.01.02.034	Sarf Malzeme	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.1548	TSP 16 Termik Şalter	Ticari mal	157.01.01.02.036	Elektrik Malzemeleri	157.01.01.02.036	Elektrik Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.1549	Avk 25 Rd	Ticari mal	157.01.01.02.036	Elektrik Malzemeleri	157.01.01.02.036	Elektrik Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.SARF.1550	Avk 35 Rd	Ticari mal	157.01.01.02.036	Elektrik Malzemeleri	157.01.01.02.036	Elektrik Malzemeleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
